Size (n*n),Runtime
1,7.3909759521484375e-06
2,2.86102294921875e-06
3,3.0994415283203125e-06
4,3.814697265625e-06
5,6.198883056640625e-06
6,6.9141387939453125e-06
7,9.059906005859375e-06
8,1.0013580322265625e-05
9,1.3113021850585938e-05
10,1.5974044799804688e-05
11,1.6927719116210938e-05
12,1.9788742065429688e-05
13,2.3126602172851562e-05
14,2.5987625122070312e-05
15,2.9802322387695312e-05
16,3.314018249511719e-05
17,3.719329833984375e-05
18,3.981590270996094e-05
19,4.506111145019531e-05
20,4.887580871582031e-05
21,5.316734313964844e-05
22,5.698204040527344e-05
23,6.318092346191406e-05
24,6.699562072753906e-05
25,7.295608520507812e-05
26,7.891654968261719e-05
27,8.392333984375e-05
28,9.012222290039062e-05
29,9.512901306152344e-05
30,0.00010180473327636719
